name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackles_won,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Harry Kane,Forward,137,53,908,49,35,14,22,11,0,0,1,0,23,Premier League,3087
Kevin De Bruyne,Midfielder,80,26,1265,80,25,12,34,9,0,0,1,0,6,Premier League,2001
Jack Grealish,Midfielder,50,19,996,81,26,10,31,12,0,0,6,0,6,Premier League,2184
Bruno Fernandes,Midfielder,121,51,2112,95,37,12,57,26,0,0,6,0,18,Premier League,3110
Tomas Soucek,Midfielder,64,23,1607,18,38,1,78,62,0,1,7,1,10,Premier League,3420
Mason Mount,Midfielder,82,27,1702,87,36,5,75,31,0,0,2,0,6,Premier League,2892
Sadio ManÃ©,Forward,94,36,1008,61,35,7,48,15,0,0,3,0,11,Premier League,2813
Riyad Mahrez,Forward,58,22,1004,44,27,6,20,8,0,0,0,0,9,Premier League,1955
JoÃ£o Cancelo,Defender,35,11,1854,45,28,3,68,41,0,1,5,0,2,Premier League,2302
Gareth Bale,Forward,38,19,366,21,20,2,17,8,0,0,1,0,11,Premier League,923
Nathaniel Phillips,Defender,15,2,1117,7,17,1,22,20,0,0,2,0,1,Premier League,1456
Ilkay GÃ¼ndogan,Midfielder,54,22,1714,42,28,2,25,20,0,0,1,0,13,Premier League,2031
Son Heung-Min,Forward,68,36,1057,75,37,10,32,14,0,0,0,0,17,Premier League,3127
Wilfred Ndidi,Midfielder,16,1,1433,16,26,4,96,61,0,0,6,0,1,Premier League,2179
Jesse Lingard,Midfielder,42,22,633,18,16,4,12,4,0,0,3,0,9,Premier League,1426
Raphinha,Forward,67,24,876,64,30,9,34,29,0,0,3,0,6,Premier League,2364
Raheem Sterling,Forward,70,28,1113,39,31,7,21,15,0,0,4,0,10,Premier League,2537
James RodrÃ­guez,Midfielder,37,18,1031,40,23,4,28,15,0,0,4,0,6,Premier League,1776
