name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackleWonTotal,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Lionel Messi,Forward,196,91,2248,77,35,9,18,6,0,0,4,0,30,LaLiga,3023
Ãngel JimÃ©nez,Goalkeeper,0,0,31,0,1,0,0,0,7,0,0,0,0,LaLiga,90
Gerard Moreno,Forward,97,47,1056,44,33,7,24,15,0,0,3,0,23,LaLiga,2683
Karim Benzema,Forward,123,55,1209,38,34,9,8,8,0,0,2,0,23,LaLiga,2902
Ansu Fati,Forward,14,7,197,9,7,0,9,3,0,0,1,0,4,LaLiga,437
Casemiro,Midfielder,46,11,1932,25,34,4,84,70,0,1,9,0,6,LaLiga,2903
Iago Aspas,Forward,50,27,1224,62,33,13,11,16,0,0,9,0,14,LaLiga,2871
Marcos Llorente,Midfielder,49,22,1243,44,37,11,71,29,0,0,6,0,12,LaLiga,2960
Mikel Merino,Midfielder,33,10,1178,29,26,4,61,32,0,0,5,0,2,LaLiga,2157
Toni Kroos,Midfielder,34,12,2021,67,28,10,42,15,0,0,6,0,3,LaLiga,2122
Joselu,Forward,93,33,1013,30,37,3,27,15,0,0,1,0,11,LaLiga,3038
Kieran Trippier,Defender,3,1,1490,34,28,6,61,40,0,0,0,0,0,LaLiga,2477
Lucas VÃ¡zquez,Midfielder,21,8,1223,44,24,5,61,19,0,0,3,0,2,LaLiga,1851
Geoffrey Kondogbia,Midfielder,4,2,187,0,5,0,16,8,0,0,1,0,0,LaLiga,441
Diego Llorente,Defender,0,0,58,0,1,0,1,2,0,0,0,0,0,LaLiga,90
Antoine Griezmann,Forward,71,34,1316,42,36,7,37,12,0,0,4,0,13,LaLiga,2621
Javi GalÃ¡n,Defender,9,1,1311,42,37,2,88,39,0,0,5,0,1,LaLiga,3068
Yannick Carrasco,Midfielder,43,24,846,47,30,10,27,17,0,0,6,0,6,LaLiga,2189
Luis SuÃ¡rez,Forward,104,43,575,27,32,3,11,5,0,0,6,0,21,LaLiga,2521
Luka Modric,Midfielder,45,15,2210,50,35,3,37,48,0,0,4,0,5,LaLiga,2744
Frenkie de Jong,Midfielder,17,6,2785,49,37,4,44,38,0,0,5,0,3,LaLiga,3159
Nabil Fekir,Forward,86,28,1176,51,33,5,45,8,0,1,5,0,5,LaLiga,2637
JosÃ© CampaÃ±a,Midfielder,13,5,463,14,9,2,14,13,0,0,1,0,1,LaLiga,747
Daniel Parejo,Midfielder,27,9,2668,43,36,4,65,45,0,0,5,0,3,LaLiga,3120
Thomas Partey,Midfielder,5,0,220,0,3,0,7,2,0,0,1,0,0,LaLiga,199
Jony Ãlamo,Forward,1,0,16,0,1,0,2,1,0,0,0,0,0,LaLiga,74
Carlos Soler,Midfielder,37,17,1431,45,32,8,41,23,0,0,7,0,11,LaLiga,2737
Mikel Oyarzabal,Forward,62,27,812,51,33,8,30,15,0,0,1,0,11,LaLiga,2432
Alexander Isak,Forward,81,42,429,10,34,2,9,3,0,0,4,0,17,LaLiga,2361
Rober Correa,Defender,6,0,457,11,15,2,16,20,0,0,3,0,0,LaLiga,1140
Ousmane DembÃ©lÃ©,Forward,55,23,922,39,30,3,14,9,0,0,2,0,6,LaLiga,1781
Jules KoundÃ©,Defender,21,6,2357,10,34,1,27,40,0,0,4,0,2,LaLiga,2976
Fernando,Midfielder,6,4,1575,19,31,4,54,41,0,0,6,0,3,LaLiga,2547
Jordi Alba,Defender,27,10,2569,53,35,5,45,49,0,0,9,1,3,LaLiga,3030
David Silva,Midfielder,20,3,834,28,21,5,19,13,0,0,4,0,2,LaLiga,1408
Emerson,Defender,11,3,1531,33,34,4,91,61,0,1,9,1,1,LaLiga,2993
Bryan Gil,Forward,40,16,790,49,28,3,28,17,0,0,6,0,4,LaLiga,2273
Manu SÃ¡nchez,Defender,0,0,25,1,1,1,0,0,0,0,0,0,0,LaLiga,50
Sergio Barcia,Midfielder,0,0,23,0,1,0,1,3,0,0,1,0,0,LaLiga,90
Sergio Ramos,Defender,17,6,1103,4,15,0,15,19,0,0,3,0,2,LaLiga,1277
Sergio Canales,Midfielder,47,13,1655,59,31,6,16,13,0,0,4,0,8,LaLiga,2502
Guido RodrÃ­guez,Midfielder,30,9,1631,11,35,0,98,68,0,0,10,0,1,LaLiga,2873
Kike GarcÃ­a,Forward,87,34,831,27,37,2,24,7,0,1,2,0,12,LaLiga,3105
Ãngel Correa,Forward,52,23,855,38,38,8,38,22,0,0,3,0,9,LaLiga,2412
Daniel Carvajal,Defender,9,2,668,9,13,2,27,13,0,0,5,0,0,LaLiga,952
Lucas Ocampos,Midfielder,69,21,883,33,34,4,36,19,0,0,3,0,5,LaLiga,2648
Stefan Savic,Defender,7,2,1740,2,33,0,40,42,0,0,15,0,1,LaLiga,2954
Koke,Midfielder,17,7,2413,38,37,2,64,36,0,0,9,0,1,LaLiga,3026
Maximiliano GÃ³mez,Forward,54,25,549,13,31,1,11,2,0,1,6,0,7,LaLiga,2699
Suso,Midfielder,48,17,1092,44,34,4,20,8,0,0,2,0,3,LaLiga,2234
JesÃºs Navas,Defender,15,2,1642,64,34,6,27,37,0,0,4,0,0,LaLiga,2836
Sergio Busquets,Midfielder,3,1,2682,30,36,5,63,53,0,0,9,0,0,LaLiga,2530
Renato Tapia,Midfielder,17,5,1587,9,32,1,93,53,0,0,11,0,0,LaLiga,2710
Youssef En-Nesyri,Forward,78,29,377,14,38,0,17,8,0,0,2,0,18,LaLiga,2314
Jan Oblak,Goalkeeper,0,0,872,0,38,0,0,0,100,0,0,1,0,LaLiga,3420
Santi Mina,Forward,45,22,600,15,34,3,31,6,0,0,4,0,12,LaLiga,2423
Eder MilitÃ£o,Defender,12,3,778,0,14,0,20,19,0,1,3,0,1,LaLiga,1134
Fidel,Midfielder,18,8,977,46,30,3,46,16,0,0,8,0,6,LaLiga,2404
Mauro Arambarri,Midfielder,46,9,962,21,34,0,64,42,0,0,11,0,3,LaLiga,2990
Raphael Varane,Defender,17,4,1766,4,31,0,22,36,0,0,2,1,2,LaLiga,2717
Jasper Cillessen,Goalkeeper,0,0,278,0,10,0,0,0,34,0,0,0,0,LaLiga,900
Marcos AcuÃ±a,Defender,18,2,1439,32,30,2,62,23,0,0,5,0,1,LaLiga,2331
Ferland Mendy,Defender,12,2,1266,18,26,0,26,26,0,0,3,0,1,LaLiga,2207
David GarcÃ­a,Defender,13,2,1370,5,35,0,26,59,0,0,8,1,1,LaLiga,3150
Jawad El Yamiq,Defender,8,2,628,2,19,1,21,46,0,0,6,0,0,LaLiga,1377
GonÃ§alo Guedes,Midfielder,51,15,739,34,31,5,18,8,0,1,3,0,5,LaLiga,2301
Thomas Lemar,Midfielder,23,11,722,21,27,3,30,11,0,0,4,0,1,LaLiga,1376
Yeray Ãlvarez,Defender,10,1,1095,6,23,0,19,53,0,0,6,0,1,LaLiga,1949
Alex Berenguer,Forward,48,15,753,38,35,4,47,18,0,0,4,0,8,LaLiga,2289
Nolito,Forward,55,23,938,35,36,5,70,22,0,0,7,0,7,LaLiga,2628
Adnan Januzaj,Midfielder,32,13,476,23,27,5,9,3,0,0,2,0,4,LaLiga,1011
Iker Muniain,Forward,23,11,946,35,28,3,20,11,0,0,1,0,5,LaLiga,1955
Carlos DomÃ­nguez,Defender,1,1,157,2,4,0,5,6,0,0,2,0,0,LaLiga,360
Joan JordÃ¡n,Midfielder,24,4,1973,38,35,6,52,27,0,1,6,0,1,LaLiga,2424
Sergio Escudero,Defender,6,1,328,6,9,0,12,9,0,0,3,0,1,LaLiga,567
Gabriel Paulista,Defender,15,6,1501,6,31,1,17,59,0,0,6,0,4,LaLiga,2717
Florian Lejeune,Defender,23,6,1463,7,34,1,43,51,0,0,10,0,1,LaLiga,3016
Aridane HernÃ¡ndez,Defender,2,0,717,5,24,0,20,34,0,1,3,0,0,LaLiga,2028
Daniel Wass,Midfielder,38,12,1445,38,35,1,52,47,0,0,8,0,4,LaLiga,2991
Luis Milla,Midfielder,10,3,502,17,16,1,22,24,0,0,1,0,1,LaLiga,1259
Mario Hermoso,Defender,18,5,1771,10,31,1,55,36,0,0,5,1,1,LaLiga,2584
Aritz Elustondo,Defender,5,1,1223,3,23,0,30,15,0,0,5,1,1,LaLiga,1887
Gerard PiquÃ©,Defender,9,2,1238,2,19,0,16,26,0,0,4,0,0,LaLiga,1486
Yangel Herrera,Midfielder,33,7,871,11,32,1,59,26,0,0,7,0,3,LaLiga,2314
Lucas TorrÃ³,Midfielder,17,8,667,6,25,1,32,27,0,0,4,0,0,LaLiga,1547
Ante Budimir,Forward,47,22,391,9,30,0,20,2,0,0,3,0,11,LaLiga,1622
Antonio Sivera,Goalkeeper,0,0,18,0,1,0,0,0,1,0,0,0,0,LaLiga,72
Philippe Coutinho,Midfielder,28,10,485,6,12,2,8,2,0,0,0,0,2,LaLiga,657
Nacho,Defender,11,3,1199,4,24,0,27,40,0,0,8,0,1,LaLiga,2000
Federico Valverde,Midfielder,22,8,743,22,24,1,25,22,0,0,0,0,3,LaLiga,1333
RubÃ©n GarcÃ­a,Midfielder,30,8,1014,53,37,5,50,29,0,0,2,0,3,LaLiga,2739
JosÃ© GimÃ©nez,Defender,14,5,1102,4,21,0,20,21,0,0,5,0,0,LaLiga,1766
Pablo Maffeo,Defender,11,5,775,17,25,4,26,35,0,0,4,0,1,LaLiga,1977
Thibaut Courtois,Goalkeeper,0,0,1077,0,38,0,0,1,89,0,0,0,0,LaLiga,3420
Mario Gaspar,Defender,16,3,884,12,25,2,55,30,0,1,3,0,0,LaLiga,1852
Ã“scar Mingueza,Defender,12,6,1595,8,27,2,52,20,0,0,4,0,2,LaLiga,1907
Sandro RamÃ­rez,Forward,30,18,300,10,20,1,13,10,0,0,2,0,5,LaLiga,1294
Iza,Defender,11,3,780,13,32,1,68,49,0,0,3,0,0,LaLiga,2587
Unai NÃºÃ±ez,Defender,12,5,1184,6,25,1,23,31,0,0,6,0,1,LaLiga,2108
Hugo Mallo,Defender,20,11,1351,17,31,1,58,37,0,0,8,0,3,LaLiga,2604
