height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,assistCross,assistCorner,assistThroughball,assistFreekick,assistThrowin,assistOther,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,assist,ranking
188,86,27,false,true,-AMC-FW-,"AM(C),FW",England,gb-eng,EPL,35,0,1,0,0,1,0,12,Harry Kane,Harry,Kane,83532,Forward,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.787142857142859,3087,14,1
181,68,30,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,be,EPL,25,0,3,0,1,0,0,8,Kevin De Bruyne,Kevin,De Bruyne,73084,Midfielder,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.6536,2001,12,2
175,68,25,false,true,-AMC-AML-,AM(CL),England,gb-eng,EPL,26,0,2,0,1,0,0,7,Jack Grealish,Jack,Grealish,113069,Midfielder,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.560384615384615,2184,10,3
179,69,26,false,true,-MC-ML-MR-,M(CLR),England,pt,EPL,37,0,0,0,2,0,0,10,Bruno Fernandes,Bruno Miguel,Borges Fernandes,123761,Midfielder,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.429459459459459,3110,12,4
192,86,26,false,true,-DMC-,DMC,England,cz,EPL,38,0,0,0,0,0,0,1,Tomas Soucek,Tomas,Soucek,143595,Midfielder,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.36421052631579,3420,1,5
178,70,22,false,true,-MC-ML-MR-,M(CLR),England,gb-eng,EPL,36,0,4,3,0,1,0,1,Mason Mount,Mason,Mount,343346,Midfielder,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.331388888888891,2892,5,6
175,69,29,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,sn,EPL,35,0,1,0,0,0,0,6,Sadio Mané,Sadio,Mané,109915,Forward,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.328285714285716,2813,7,7
179,67,30,false,true,-AMC-AML-AMR-,AM(CLR),England,dz,EPL,27,0,3,1,0,0,0,3,Riyad Mahrez,Riyad,Mahrez,104749,Forward,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.313703703703704,1955,6,8
182,74,27,false,true,-DL-DR-MR-,"D(LR),M(R)",England,pt,EPL,28,0,1,0,0,1,0,2,João Cancelo,João Pedro,Cavaco Cancelo,128967,Defender,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.310714285714285,2302,3,9
185,81,31,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,gb-wls,EPL,20,0,1,1,0,0,0,1,Gareth Bale,Gareth,Bale,13812,Forward,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.295,923,2,10
