height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,goalOwn,ranking
188,86,27,false,true,-AMC-FW-,"AM(C),FW",England,gb-eng,EPL,35,0,0.6285714285714286,0.3142857142857143,0.7428571428571429,0,1.1142857142857143,0.5142857142857142,0.3142857142857143,Harry Kane,Harry,Kane,83532,Forward,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.787142857142859,3087,0,1
181,68,30,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,be,EPL,25,2,1.36,0.36,1.08,0,0.32,1.4,0.04,Kevin De Bruyne,Kevin,De Bruyne,73084,Midfielder,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.6536,2001,0,2
175,68,25,false,true,-AMC-AML-,AM(CL),England,gb-eng,EPL,26,2,1.1923076923076923,0.46153846153846156,1.5384615384615385,0,0.15384615384615385,0.34615384615384615,0.11538461538461539,Jack Grealish,Jack,Grealish,113069,Midfielder,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.560384615384615,2184,0,3
179,69,26,false,true,-MC-ML-MR-,M(CLR),England,pt,EPL,37,2,1.5405405405405406,0.7027027027027027,1.162162162162162,0.02702702702702703,0.7297297297297297,2,0,Bruno Fernandes,Bruno Miguel,Borges Fernandes,123761,Midfielder,32,Man Utd,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.429459459459459,3110,0,4
192,86,26,false,true,-DMC-,DMC,England,cz,EPL,38,0,2.0526315789473686,1.631578947368421,1.8157894736842106,0.05263157894736842,2.6842105263157894,1.2894736842105263,0.47368421052631576,Tomas Soucek,Tomas,Soucek,143595,Midfielder,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.36421052631579,3420,1,5
178,70,22,false,true,-MC-ML-MR-,M(CLR),England,gb-eng,EPL,36,4,2.0833333333333335,0.8611111111111112,1.3888888888888888,0,0.3333333333333333,1.2222222222222223,0.05555555555555555,Mason Mount,Mason,Mount,343346,Midfielder,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.331388888888891,2892,0,6
175,69,29,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,sn,EPL,35,4,1.3714285714285714,0.42857142857142855,1.5142857142857142,0,0.2571428571428571,0.6,0,Sadio Mané,Sadio,Mané,109915,Forward,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.328285714285716,2813,0,7
179,67,30,false,true,-AMC-AML-AMR-,AM(CLR),England,dz,EPL,27,4,0.7407407407407407,0.2962962962962963,0.48148148148148145,0,0.14814814814814814,0.8888888888888888,0,Riyad Mahrez,Riyad,Mahrez,104749,Forward,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.313703703703704,1955,0,8
182,74,27,false,true,-DL-DR-MR-,"D(LR),M(R)",England,pt,EPL,28,1,2.4285714285714284,1.4642857142857142,1.2857142857142858,0.32142857142857145,1,1.4285714285714286,0.07142857142857142,João Cancelo,João Pedro,Cavaco Cancelo,128967,Defender,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.310714285714285,2302,0,9
185,81,31,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,gb-wls,EPL,20,10,0.85,0.4,0.45,0.1,0.7,0.35,0.1,Gareth Bale,Gareth,Bale,13812,Forward,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.295,923,0,10
190,0,24,false,true,-DC-,D(C),England,gb-eng,EPL,17,2,1.2941176470588236,1.1764705882352942,1.1764705882352942,0.5294117647058824,4.764705882352941,0.7647058823529411,0.8235294117647058,Nathaniel Phillips,Nathaniel,Phillips,381527,Defender,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.291176470588236,1456,0,11
180,80,30,false,true,-MC-,M(C),England,de,EPL,28,5,0.8928571428571429,0.7142857142857143,0.2857142857142857,0,0.32142857142857145,1.0357142857142858,0.14285714285714285,Ilkay Gündogan,Ilkay,Gündogan,77464,Midfielder,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.287142857142856,2031,0,12
183,78,28,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,kr,EPL,37,1,0.8648648648648649,0.3783783783783784,0.3783783783783784,0,0.08108108108108109,1.4594594594594594,0.08108108108108109,Son Heung-Min,Heung-Min,Son,91909,Forward,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.269189189189189,3127,0,13
183,74,24,false,true,-DMC-,DMC,England,ng,EPL,26,1,3.6923076923076925,2.3461538461538463,2.076923076923077,0.11538461538461539,2,1.5384615384615385,0.4230769230769231,Wilfred Ndidi,Wilfred,Ndidi,327683,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.248076923076923,2179,0,14
175,62,28,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,16,0,0.75,0.25,1.3125,0,0,0.5625,0.0625,Jesse Lingard,Jesse,Lingard,109000,Midfielder,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.22125,1426,0,15
176,68,24,false,true,-AML-AMR-,AM(LR),England,br,EPL,30,4,1.1333333333333333,0.9666666666666667,0.43333333333333335,0,0.8666666666666667,1.5333333333333334,0.03333333333333333,Raphinha,Raphael,Dias Belloli,300447,Forward,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.218000000000001,2364,0,16
170,69,26,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,gb-eng,EPL,31,3,0.6774193548387096,0.4838709677419355,1.1612903225806452,0,0.12903225806451613,0.22580645161290322,0,Raheem Sterling,Raheem,Sterling,97692,Forward,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.216774193548388,2537,0,17
180,75,29,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,co,EPL,23,2,1.2173913043478262,0.6521739130434783,0.7391304347826086,0,0.043478260869565216,1.5217391304347827,0,James Rodríguez,James,Rodríguez,71182,Midfielder,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.214782608695652,1776,0,18
180,70,25,false,true,-AML-AMR-FW-,"AM(LR),FW",England,gb-eng,EPL,37,0,0.7837837837837838,0.1891891891891892,1.2702702702702702,0,0.6216216216216216,0.6216216216216216,0.05405405405405406,Ollie Watkins,Ollie,Watkins,148503,Forward,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.175945945945947,3329,0,19
191,77,25,false,true,-DC-DL-,D(CL),England,gb-eng,EPL,7,0,0.5714285714285714,1.1428571428571428,0.7142857142857143,0.42857142857142855,7.571428571428571,0.42857142857142855,0.2857142857142857,Kortney Hause,Kortney,Hause,134207,Defender,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.170000000000001,630,0,20
191,82,25,false,true,-DMC-,DMC,England,es,EPL,34,3,2.1176470588235294,1.0588235294117647,1.2941176470588236,0.029411764705882353,1.588235294117647,0.9705882352941176,0.2647058823529412,Rodri,Rodrigo,Hernández Cascante,303139,Midfielder,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.169999999999999,2749,0,21
180,82,31,false,true,-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",England,gb-eng,EPL,26,2,0.2692307692307692,0.2692307692307692,1.1153846153846154,0,0.2692307692307692,0.23076923076923078,0.11538461538461539,Michail Antonio,Michail,Antonio,69517,Forward,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.166538461538462,1984,0,22
187,71,24,false,true,-AML-FW-,"AM(L),FW",England,gb-eng,EPL,33,1,0.5151515151515151,0.18181818181818182,1.121212121212121,0.030303030303030304,1,0.18181818181818182,0.18181818181818182,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,141469,Forward,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.165757575757575,2876,0,23
