height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,shotOnTarget,shotOffTarget,shotOnPost,shotBlocked,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,shotsTotal,ranking
188,86,27,FALSE,TRUE,-AMC-FW-,"AM(C),FW",England,gb-eng,EPL,35,0,53,56,8,28,Harry Kane,Harry,Kane,83532,Forward,30,Tottenham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.787142857,3087,137,1
181,68,29,FALSE,TRUE,-FW-MC-ML-MR-,"M(CLR),FW",England,be,EPL,25,0,26,26,4,28,Kevin De Bruyne,Kevin,De Bruyne,73084,Midfielder,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.6536,2001,80,2
175,68,25,FALSE,TRUE,-AMC-AML-,AM(CL),England,gb-eng,EPL,26,0,19,10,0,21,Jack Grealish,Jack,Grealish,113069,Midfielder,24,Aston Villa,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.560384615,2184,50,3
179,69,26,FALSE,TRUE,-MC-ML-MR-,M(CLR),England,pt,EPL,37,0,51,33,1,37,Bruno Fernandes,Bruno Miguel,Borges Fernandes,123761,Midfielder,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.429459459,3110,121,4
192,86,26,FALSE,TRUE,-DMC-,DMC,England,cz,EPL,38,0,23,28,0,13,Tomas Soucek,Tomas,Soucek,143595,Midfielder,29,West Ham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.364210526,3420,64,5
178,70,22,FALSE,TRUE,-MC-ML-MR-,M(CLR),England,gb-eng,EPL,36,0,27,32,3,23,Mason Mount,Mason,Mount,343346,Midfielder,15,Chelsea,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.331388889,2892,82,6
175,69,29,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,sn,EPL,35,0,36,35,1,23,Sadio Mané,Sadio,Mané,109915,Forward,26,Liverpool,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.328285714,2813,94,7
179,67,30,FALSE,TRUE,-AMC-AML-AMR-,AM(CLR),England,dz,EPL,27,0,22,20,2,16,Riyad Mahrez,Riyad,Mahrez,104749,Forward,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.313703704,1955,58,8
182,74,27,FALSE,TRUE,-DL-DR-MR-,"D(LR),M(R)",England,pt,EPL,28,0,11,14,2,10,João Cancelo,João Pedro,Cavaco Cancelo,128967,Defender,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.310714286,2302,35,9
185,81,31,FALSE,TRUE,-FW-MC-ML-MR-,"M(CLR),FW",England,gb-wls,EPL,20,0,19,13,2,6,Gareth Bale,Gareth,Bale,13812,Forward,30,Tottenham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.295,923,38,10
