height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,passTotal,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,ranking
170,72,34,false,true,-AMC-AMR-FW-,"AM(CR),FW",Spain,ar,SLL,35,0,Lionel Messi,Lionel,Messi,11119,Forward,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,8.520285714285714,3023,2248,71,25,1843,309,1
0,0,19,false,true,,Goalkeeper,Spain,es,SLL,1,0,Ángel Jiménez,Ángel,Jiménez,405792,Goalkeeper,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,8.24,90,31,9,16,5,1,2
180,77,29,false,true,-AMC-AMR-FW-,"AM(CR),FW",Spain,es,SLL,33,0,Gerard Moreno,Gerard,Moreno,97659,Forward,839,Villarreal,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.624242424242424,2683,1056,58,36,678,284,3
185,81,33,false,true,-FW-,FW,Spain,fr,SLL,34,0,Karim Benzema,Karim,Benzema,14296,Forward,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.5711764705882345,2902,1209,43,9,980,177,4
178,66,18,false,true,-AML-,AM(L),Spain,es,SLL,7,0,Ansu Fati,Anssumane,Fati,382234,Forward,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.378571428571428,437,197,0,0,165,32,5
185,84,29,false,true,-DMC-,DMC,Spain,br,SLL,34,0,Casemiro,Carlos Henrique,Casimiro,88526,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.35764705882353,2903,1932,150,81,1470,231,6
176,67,33,false,true,-AMC-AMR-FW-,"AM(CR),FW",Spain,es,SLL,33,0,Iago Aspas,Iago,Aspas,91242,Forward,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.324545454545454,2871,1224,49,12,916,247,7
184,74,26,false,true,-FW-MC-MR-,"M(CR),FW",Spain,es,SLL,37,0,Marcos Llorente,Marcos,Llorente,254582,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.2648648648648635,2960,1243,49,31,1003,160,8
188,83,25,false,true,-MC-,M(C),Spain,es,SLL,26,0,Mikel Merino,Mikel,Merino,238916,Midfielder,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.236923076923077,2157,1178,55,56,848,219,9
183,76,31,false,true,-MC-,M(C),Spain,de,SLL,28,0,Toni Kroos,Toni,Kroos,31772,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.222499999999999,2122,2021,229,34,1663,95,10
192,80,31,false,true,-FW-,FW,Spain,es,SLL,37,0,Joselu,Jose Luis,Mato Sanmartín,74603,Forward,60,Deportivo Alaves,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.22,3038,1013,34,41,560,378,11
178,71,30,false,true,-DR-MR-,"D(R),M(R)",Spain,gb-eng,SLL,28,0,Kieran Trippier,Kieran,Trippier,83078,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.201785714285713,2477,1490,66,79,1117,228,12
173,70,29,false,true,-DR-MR-,"D(R),M(R)",Spain,es,SLL,24,0,Lucas Vázquez,Lucas,Vázquez,144511,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.197500000000001,1851,1223,65,32,1007,119,13
188,80,28,false,true,-DMC-,DMC,Spain,cf,SLL,5,0,Geoffrey Kondogbia,Geoffrey,Kondogbia,91978,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.192,441,187,23,11,137,16,14
186,75,27,false,true,-DC-DMC-,"D(C),DMC",Spain,es,SLL,1,0,Diego Llorente,Diego,Llorente,123232,Defender,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.18,90,58,3,7,45,3,15
